ticker,Date,TVol,TXN,TV,OP,HP,LP,CP,Dir,CHG,LBBP,LBBV,LBSP,LBSV,PER
076847,20210129,0.0,0.0,0,--,--,--,--, ,0.0,0.19,100.0,0.22,200.0,6.72
076848,20210129,0.0,0.0,0,--,--,--,--, ,0.0,2.28,100.0,2.29,10.0,29.60
076849,20210129,0.0,0.0,0,--,--,--,--, ,0.0,2.42,100.0,2.43,10.0,29.60
076850,20210129,50000.0,1.0,"47,000",0.94,0.94,0.94,0.94,X,0.0,0.89,100.0,0.9,50.0,77.40
076851,20210129,0.0,0.0,0,--,--,--,--, ,0.0,0.57,100.0,0.58,50.0,25.30
076852,20210129,0.0,0.0,0,--,--,--,--, ,0.0,0.96,100.0,0.97,50.0,25.10
076853,20210129,45000.0,4.0,"51,750",1.13,1.17,1.13,1.15,-,0.01,1.0,499.0,1.01,80.0,57.40
076854,20210129,0.0,0.0,0,--,--,--,--, ,0.0,0.45,100.0,0.46,50.0,182.00
076855,20210129,19000.0,3.0,"31,640",1.68,1.68,1.54,1.54,-,0.28,1.67,100.0,1.68,15.0,24.15
076856,20210129,45000.0,1.0,"62,550",1.39,1.39,1.39,1.39,-,0.16,1.2,100.0,1.21,50.0,52.10
076857,20210129,86000.0,10.0,"189,810",2.27,2.38,2.07,2.07,+,0.05,2.09,100.0,2.1,50.0,875.00
076858,20210129,0.0,0.0,0,--,--,--,--, ,0.0,0.52,100.0,0.53,100.0,75.10
076859,20210129,135000.0,3.0,"193,650",1.47,1.47,1.31,1.31,-,0.25,1.29,100.0,--,0.0,78.10
076860,20210129,70000.0,1.0,"88,900",1.27,1.27,1.27,1.27, ,0.0,1.09,100.0,1.1,50.0,216.00
076861,20210129,0.0,0.0,0,--,--,--,--, ,0.0,0.47,100.0,0.48,100.0,60.50
076862,20210129,0.0,0.0,0,--,--,--,--, ,0.0,0.42,100.0,0.43,100.0,28.15
076863,20210129,0.0,0.0,0,--,--,--,--, ,0.0,4.14,100.0,4.23,10.0,669.00
076864,20210129,0.0,0.0,0,--,--,--,--, ,0.0,8.7,998.0,9.2,10.0,0.00
076865,20210129,30000.0,3.0,"25,800",0.88,0.88,0.85,0.85,+,0.17,0.7,10.0,0.71,10.0,0.00
076866,20210129,0.0,0.0,0,--,--,--,--, ,0.0,1.14,100.0,1.24,10.0,20.73
076867,20210129,2000.0,2.0,"1,470",0.74,0.74,0.73,0.73, ,0.0,0.71,100.0,0.72,50.0,25.30
076868,20210129,0.0,0.0,0,--,--,--,--, ,0.0,1.18,100.0,1.19,50.0,23.40
076869,20210129,0.0,0.0,0,--,--,--,--, ,0.0,5.45,100.0,--,0.0,111.50
076870,20210129,0.0,0.0,0,--,--,--,--, ,0.0,12.9,100.0,13.9,10.0,111.50
076871,20210129,0.0,0.0,0,--,--,--,--, ,0.0,7.5,100.0,--,0.0,111.50
076872,20210129,0.0,0.0,0,--,--,--,--, ,0.0,6.75,100.0,6.9,10.0,574.00
076873,20210129,15000.0,2.0,"84,250",5.65,5.65,5.6,5.6,+,0.4,5.1,100.0,5.15,50.0,574.00
076874,20210129,0.0,0.0,0,--,--,--,--, ,0.0,6.6,100.0,--,0.0,574.00
076875,20210129,309000.0,6.0,"518,920",1.67,1.68,1.65,1.68,+,0.11,1.5,100.0,1.51,10.0,269.50
076876,20210129,0.0,0.0,0,--,--,--,--, ,0.0,2.17,100.0,2.18,10.0,79.90
076877,20210129,41000.0,7.0,"37,660",0.9,0.93,0.86,0.86,-,0.02,0.85,100.0,0.86,50.0,52.30
076878,20210129,100000.0,2.0,"231,000",2.31,2.31,2.31,2.31,-,0.35,2.11,100.0,2.14,10.0,159.50
076879,20210129,0.0,0.0,0,--,--,--,--, ,0.0,2.11,100.0,2.17,10.0,159.50
076880,20210129,6000.0,2.0,"28,080",4.68,4.68,4.68,4.68,-,0.08,3.74,100.0,3.78,50.0,220.50
076881,20210129,0.0,0.0,0,--,--,--,--, ,0.0,2.96,100.0,3.04,10.0,220.50
076882,20210129,439000.0,13.0,"419,580",1.03,1.03,0.87,0.87,-,0.12,0.86,10.0,0.87,50.0,12.55
076883,20210129,129000.0,5.0,"109,450",0.91,0.91,0.82,0.82,-,0.07,0.78,100.0,0.79,50.0,12.55
076884,20210129,110000.0,6.0,"178,750",1.6,1.84,1.6,1.62,+,0.05,1.46,100.0,1.47,50.0,73.80
076885,20210129,0.0,0.0,0,--,--,--,--, ,0.0,4.07,100.0,4.16,10.0,394.00
076886,20210129,0.0,0.0,0,--,--,--,--, ,0.0,4.15,1.0,4.17,10.0,394.00
076887,20210129,13000.0,3.0,"21,630",1.65,1.69,1.65,1.66,-,0.13,1.66,100.0,1.67,50.0,83.50
076888,20210129,845000.0,11.0,"537,070",0.67,0.67,0.61,0.61,-,0.04,0.6,100.0,0.61,100.0,482.00
